Abelmoschus esculentus	Piżmian jadalny
Fallopia convolvulus	Rdestówka powojowata
Fallopia dumetorum	Rdestówka zaroślowa
Fargesia murielae	Fargezja parasolowata
Fargesia nitida	Fargezja lśniąca
Fargesia robusta	Fargezja olbrzymia
Fargesia rufa	Fargezja rozłożysta
Fargesia scabrida	Fargezja szorstka
Felicia amelloides	Felicja gawędkowa
Ferula assa-foetida	Zapaliczka cuchnąca
Festuca altissima	Kostrzewa leśna
Festuca amethystina	Kostrzewa ametystowa
Festuca arundinacea	Kostrzewa trzcinowa
Festuca beckeri	Kostrzewa poleska
Festuca carpathica	Kostrzewa karpacka
Festuca cinerea	Kostrzewa popielata
Festuca duvalii	Kostrzewa Duvala
Festuca filiformis	Kostrzewa nitkowata
Festuca gigantea	Kostrzewa olbrzymia
Festuca heterophylla	Kostrzewa różnolistna
Festuca makutrensis	Kostrzewa makutrzańska
Festuca ovina	Kostrzewa owcza
Festuca pallens	Kostrzewa blada
Festuca pratensis	Kostrzewa łąkowa
Festuca psammophila	Kostrzewa piaskowa
Festuca pseudodalmatica	Kostrzewa nibydalmacka
Festuca pseudovina	Kostrzewa nibyowcza
Festuca rubra	Kostrzewa czerwona
Festuca vaginata	Kostrzewa pochwiasta
Festuca valesiaca	Kostrzewa walezyjska
Festuca varia	Kostrzewa pstra
Ficaria verna	Ziarnopłon wiosenny
Ficus benjamina	Figowiec benjamina
Ficus carica	Figowiec pospolity
Ficus elastica	Figowiec sprężysty
Filago arvensis	Nicennica polna
Filago germanica	Nicennica niemiecka
Filago lutescens	Nicennica żółtawa
Filago minima	Nicennica drobna
Filipendula ulmaria	Wiązówka błotna
Filipendula vulgaris	Wiązówka bulwkowa
Firmiana simplex	Firmiana simplex
Fissidens adianthoides	Skrzydlik paprociowaty
Fissidens bryoides	Skrzydlik prątnikowy
Fissidens crassipes	Skrzydlik tęgoszczecinowy
Fissidens dubius	Skrzydlik grzebieniasty
Fissidens exilis	Skrzydlik chudy
Fissidens fontanus	Skrzydlik studziennik
Fissidens taxifolius	Skrzydlik cisolistny
Fitzroya cupressoides	Ficroja cyprysowata
Foeniculum vulgare	Fenkuł włoski
Fontinalis dalecarlica	Zdrojek szwedzki
Forsythia intermedia	Forsycja pośrednia
Forsythia suspensa	Forsycja zwisła
Fragaria moschata	Poziomka wysoka
Fragaria vesca	Poziomka pospolita
Fragaria virginiana	Poziomka wirginijska
Fragaria viridis	Poziomka twardawa
Fragaria ×ananassa	Truskawka
Frangula alnus	Kruszyna pospolita
Franklinia alatamaha	Franklinia amerykańska
Fraxinus americana	Jesion amerykański
Fraxinus excelsior	Jesion wyniosły
Fraxinus ornus	Jesion mannowy
Fraxinus pennsylvanica	Jesion pensylwański
Fritillaria imperialis	Szachownica cesarska
Fritillaria meleagris	Szachownica kostkowata
Fritillaria michailovskyi	Szachownica Michajłowskiego
Fuchsia hybrida	Fuksja mieszańcowa
Fuchsia magellanica	Fuksja magellańska
Fumaria officinalis	Dymnica pospolita
Fumaria rostellata	Dymnica szerokodziałkowa
Fumaria schleicheri	Dymnica różowa
Fumaria vaillantii	Dymnica drobnokwiatowa
Gagea arvensis	Złoć polna
Gagea lutea	Złoć żółta
Gagea minima	Złoć mała
Gagea pratensis	Złoć łąkowa
Gagea serotina	Lilijka alpejska
Gagea spathacea	Złoć pochwolistna
Galanthus nivalis	Śnieżyczka przebiśnieg
Nazwa łacińska	Nazwa polska
Galatella linosyris	Ożota zwyczajna
Galega officinalis	Rutwica lekarska
Galeopsis segetum	Poziewnik piaskowy
Galeopsis speciosa	Poziewnik pstry
Galeopsis tetrahit	Poziewnik szorstki
Galinsoga parviflora	Żółtlica drobnokwiatowa
Galinsoga quadriradiata	Żółtlica owłosiona
Galium aparine	Przytulia czepna
Galium boreale	Przytulia północna
Galium cracoviense	Przytulia krakowska
Galium mollugo	Przytulia pospolita
Galium odoratum	Przytulia wonna
Galium palustre	Przytulia błotna
Galium pumilum	Przytulia szorstkoowockowa
Galium rivale	Przytulia lepczyca
Galium rotundifolium	Przytulia okrągłolistna
Galium saxatile	Przytulia hercyńska
Galium sudeticum	Przytulia sudecka
Galium sylvaticum	Przytulia leśna
Galium tricornutum	Przytulia trójrożna
Galium trifidum	Przytulia trójdzielna
Galium uliginosum	Przytulia bagienna
Galium valdepilosum	Przytulia stepowa
Galium verum	Przytulia właściwa
Galtonia candicans	Galtonia błyszcząca
Gaultheria procumbens	Golteria rozesłana
Gazania rigens	Gazania lśniąca
Genista germanica	Janowiec ciernisty
Genista pilosa	Janowiec włosisty
Genista raetam	Janowiec retam
Genista sagittalis	Janowiec skrzydlaty
Genista tinctoria	Janowiec barwierski
Gentiana asclepiadea	Goryczka trojeściowa
Gentiana clusii	Goryczka krótkołodygowa
Gentiana cruciata	Goryczka krzyżowa
Gentiana frigida	Goryczka przezroczysta
Gentiana lutea	Goryczka żółta
Gentiana nivalis	Goryczka śniegowa
Gentiana pannonica	Goryczka panońska
Gentiana pneumonanthe	Goryczka wąskolistna
Gentiana punctata	Goryczka kropkowana
Gentiana purpurea	Goryczka purpurowa
Gentiana verna	Goryczka wiosenna
Gentianella amarella	Goryczuszka gorzkawa
Gentianella aspera	Goryczuszka szorstka
Gentianella baltica	Goryczuszka bałtycka
Gentianella bohemica	Goryczuszka czeska
Gentianella campestris	Goryczuszka polna
Gentianella germanica	Goryczuszka Wettsteina
Gentianella lutescens	Goryczuszka wczesna
Gentianella uliginosa	Goryczuszka błotna
Gentianopsis ciliata	Goryczuszka orzęsiona
Geranium cinereum	Bodziszek popielaty
Geranium dissectum	Bodziszek porozcinany
Geranium endressii	Bodziszek Endressa
Geranium molle	Bodziszek kosmaty
Geranium palustre	Bodziszek błotny
Geranium phaeum	Bodziszek żałobny
Geranium pratense	Bodziszek łąkowy
Geranium pusillum	Bodziszek drobny
Geranium pyrenaicum	Bodziszek pirenejski
Geranium robertianum	Bodziszek cuchnący
Geranium sanguineum	Bodziszek czerwony
Geranium sylvaticum	Bodziszek leśny
Geum coccineum	Kuklik szkarłatny
Geum montanum	Kuklik górski
Geum reptans	Kuklik rozesłany
Geum rivale	Kuklik zwisły
Geum urbanum	Kuklik pospolity
Ginkgo biloba	Miłorząb dwuklapowy
Gladiolus hybridus	Mieczyk ogrodowy
Gladiolus imbricatus	Mieczyk dachówkowaty
Gladiolus palustris	Mieczyk błotny
Gladiolus ×gandawensis	Mieczyk gandawski
Glandora oleifolia	Glandora oleifolia
Glaucium flavum	Siwiec żółty
Glebionis segetum	Złocień polny
Glechoma hederacea	Bluszczyk kurdybanek
Gleditsia triacanthos	Glediczja trójcierniowa
Globularia nudicaulis	Kulnik nagołodygowy
Gloriosa superba	Glorioza wspaniała
Glyceria fluitans	Manna jadalna
Glyceria lithuanica	Manna litewska
Glyceria maxima	Manna mielec
Glycine max	Soja warzywna
Glycyrrhiza glabra	Lukrecja gładka
Gnaphalium hoppeanum	Szarota Hoppego
Gnaphalium norvegicum	Szarota norweska
Gnaphalium sylvaticum	Szarota leśna
Gnaphalium uliginosum	Szarota błotna
Gomphrena globosa	Wiecznik kulisty
Goodyera repens	Tajęża jednostronna
Gossypium herbaceum	Bawełna indyjska
Gossypium hirsutum	Bawełna kosmata
Gratiola officinalis	Konitrut błotny
Grimmia anodon	Strzechwa bezząb
Grimmia crinita	Strzechwa włosista
Grindelia robusta	Doględka mocna
Groenlandia densa	Rdestniczka gęsta
Gundelia tournefortii	Gundelia tournefortii
Gymnadenia conopsea	Gółka długoostrogowa
Gymnadenia nigra	Ciemnogłów wąskolistny
Gymnadenia odoratissima	Gółka wonna
Gymnocarpium dryopteris	Cienistka trójkątna
Gymnocarpium robertianum	Cienistka Roberta
Gymnostomum aeruginosum	Nagosz rdzawy
Gymnostomum calcareum	Nagosz wapienny
Gypsophila muralis	Łyszczec polny
Gypsophila paniculata	Łyszczec wiechowaty
Gypsophila repens	Łyszczec rozesłany
Gyroweisia tenuis	Krągłolistka cienka
Hacquetia epipactis	Cieszynianka wiosenna
Halesia diptera	Ośnieża dwuskrzydła
Halesia monticola	Ośnieża górska
Hamamelis virginiana	Oczar wirginijski
Hammada scoparia	Haloxylon scoparium
Hammarbya paludosa	Wątlik błotny
Haworthia attenuata	Haworsja wąskolistna
Hedera canariensis	Bluszcz kanaryjski
Hedera colchica	Bluszcz kolchidzki
Hedera helix	Bluszcz pospolity
Hedera nepalensis	Bluszcz himalajski
Hedysarum hedysaroides	Siekiernica górska
Helianthemum apenninum	Posłonek apeniński
Helianthemum nummularium	Posłonek rozesłany
Helianthus annuus	Słonecznik zwyczajny
Helianthus decapetalus	Słonecznik dziesięciopłatkowy
Helianthus pauciflorus	Słonecznik szorstki
Helianthus strumosus	Słonecznik miękkowłosy
Helianthus tuberosus	Słonecznik bulwiasty
Helianthus ×laetiflorus	Słonecznik jaskrawy
Helichrysum arenarium	Kocanki piaskowe
Helichrysum petiolare	Kocanki włochate
Helicodiceros muscivorus	Helicodiceros muscivorus
Helictotrichon planiculme	Owsica spłaszczona
Helictotrichon pratense	Owsica łąkowa
Helictotrichon pubescens	Owsica omszona
Helictotrichon versicolor	Owsica pstra
Heliopsis helianthoides	Słoneczniczek szorstki
Heliotropium peruvianum	Heliotrop peruwiański
Heliotropium supinum	Heliotropium supinum
Helleborus foetidus	Ciemiernik cuchnący
Helleborus lividus	Ciemiernik korsykański
Helleborus niger	Ciemiernik biały
Helleborus purpurascens	Ciemiernik czerwonawy
Helleborus serbicus	Ciemiernik serbski
Helleborus viridis	Ciemiernik zielony
Hemerocallis × hybrida	Liliowiec ogrodowy
Hennediella heimii	Zrosłowieczek solniskowy
Heptacodium miconioides	Heptakodium chińskie
Heracleum mantegazzianum	Barszcz Mantegazziego
Heracleum sosnowskyi	Barszcz Sosnowskiego
Heracleum sphondylium	Barszcz zwyczajny
Herminium monorchis	Miodokwiat krzyżowy
Herniaria glabra	Połonicznik nagi
Herniaria hirsuta	Połonicznik kosmaty
Herniaria incana	Połonicznik siwy
Hesperis nivea	Wieczornik śnieżny
Heuchera micrantha	Żurawka drobnokwiatowa
Heuchera sanguinea	Żurawka krwista
Heuchera × brizoides	Żurawka drżączkowata
Hevea brasiliensis	Kauczukowiec brazylijski
Hibiscus rosa-sinensis	Ketmia róża chińska
Hibiscus syriacus	Ketmia syryjska
Hieracium alpinum	Jastrzębiec alpejski
Hieracium aurantiacum	Jastrzębiec pomarańczowy
Hieracium bifidum	Jastrzębiec siny
Hieracium bupleuroides	Jastrzębiec przewiertniowaty
Hieracium caesium	Jastrzębiec modry
Hieracium cymosum	Jastrzębiec wierzchotkowy
Hieracium echioides	Jastrzębiec żmijowcowaty
Hieracium fallax	Jastrzębiec mylący
Hieracium fuscocinereum	Jastrzębiec strzałkowaty
Hieracium lachenalii	Jastrzębiec Lachenala
Hieracium laevigatum	Jastrzębiec gładki
Hieracium murorum	Jastrzębiec leśny
Hieracium piliferum	Jastrzębiec włosisty
Hieracium pilosella	Jastrzębiec kosmaczek
Hieracium prenanthoides	Jastrzębiec przenętowaty
Hieracium sabaudum	Jastrzębiec sabaudzki
Hieracium schmidtii	Jastrzębiec blady
Hieracium sparsum subsp. silesiacum	Jastrzębiec śląski
Hieracium umbellatum	Jastrzębiec baldaszkowy
Hierochloë odorata	Turówka wonna
Hildenbrandia rivularis	Hildenbrandia rzeczna
Hilpertia velenovskyi	Ślimakobrzeżek lessowy
Himantoglossum hircinum	Himantoglossum cuchnące
Hippocrepis comosa	Konikleca czubata
Hippuris vulgaris	Przęstka pospolita
Holcus lanatus	Kłosówka wełnista
Holcus mollis	Kłosówka miękka
Holosteum umbellatum	Mokrzycznik baldaszkowy
Homalia trichomanoides	Gładysz paprociowaty
Homogyne alpina	Podbiałek alpejski
Honckenya peploides	Honkenia piaskowa
Hordeum distichon	Jęczmień dwurzędowy
Hordeum jubatum	Jęczmień grzywiasty
Hordeum murinum	Jęczmień płonny
Hordeum secalinum	Jęczmień żytni
Hordeum vulgare	Jęczmień zwyczajny
Horminum pyrenaicum	Horminum pirenejskie
Hornungia alpina	Rzeżuszka alpejska
Hosta sieboldiana	Funkia sina
Hottonia palustris	Okrężnica bagienna
Houttuynia cordata	Pstrolistka sercowata
Humulus lupulus	Chmiel zwyczajny
Huperzia selago	Wroniec widlasty
Hyacinthus orientalis	Hiacynt wschodni
Hydrangea arborescens	Hortensja krzewiasta
Hydrangea macrophylla	Hortensja ogrodowa
Hydrangea paniculata	Hortensja bukietowa
Hydrangea petioloaris	Hortensja pnąca
Hydrilla verticillata	Przesiąkra okółkowa
Hydrocharis morsus-ranae	Żabiściek pływający
Hydrocotyle vulgaris	Wąkrota zwyczajna
Hylocomium splendens	Gajnik lśniący
Hylotelephium cauticola	Rozchodnikowiec naskalny
Hymenostylium recurvirostrum	Długowieczek krzywy
Hyoscyamus aureus	Lulek złoty
Hyoscyamus niger	Lulek czarny
Hypericum elegans	Dziurawiec wytworny
Hypericum hirsutum	Dziurawiec kosmaty
Hypericum humifusum	Dziurawiec rozesłany
Hypericum maculatum	Dziurawiec czteroboczny
Hypericum montanum	Dziurawiec skąpolistny
Hypericum olympicum	Hypericum olympicum
Hypericum perforatum	Dziurawiec zwyczajny
Hypericum pulchrum	Dziurawiec nadobny
Hypericum tetrapterum	Dziurawiec skrzydełkowaty
Hypochaeris glabra	Prosienicznik gładki
Hypochaeris maculata	Prosienicznik plamisty
Hypochaeris radicata	Prosienicznik szorstki
Hypochaeris uniflora	Prosienicznik jednogłówkowy
Hyssopus officinalis	Hyzop lekarski
Iberis amara	Ubiorek gorzki
Iberis semperflorens	Iberis semperflorens
Iberis sempervirens	Ubiorek wiecznie zielony
Ilex aquifolium	Ostrokrzew kolczasty
Illecebrum verticillatum	Goździeniec okółkowy
Impatiens balsamina	Niecierpek balsamina
Impatiens capensis	Niecierpek pomarańczowy
Impatiens glandulifera	Niecierpek gruczołowaty
Impatiens hawkeri	Niecierpek nowogwinejski
Impatiens noli-tangere	Niecierpek pospolity
Impatiens parviflora	Niecierpek drobnokwiatowy
Inula britannica	Oman łąkowy
Inula conyzae	Oman szlachtawa
Inula ensifolia	Oman wąskolistny
Inula germanica	Oman niemiecki
Inula helenium	Oman wielki
Inula hirta	Oman szorstki
Inula salicina	Oman wierzbolistny
Ipheion uniflorum	Ifejon jednokwiatowy
Ipomoea batatas	Wilec ziemniaczany
Ipomoea pes-caprae	Wilec kozie kopytko
Ipomoea purpurea	Wilec purpurowy
Iris aphylla	Kosaciec bezlistny
Iris germanica	Kosaciec bródkowy
Iris graminea	Kosaciec trawolistny
Iris pseudacorus	Kosaciec żółty
Iris pumila	Kosaciec niski
Iris sibirica	Kosaciec syberyjski
Isatis tinctoria	Urzet barwierski
Isoetes echinospora	Poryblin kolczasty
Isoetes lacustris	Poryblin jeziorny
Isolepis cernua	Sitniczka zwisła
Isolepis fluitans	Sitniczka pływająca
Isolepis setacea	Sitniczka szczecinowata
Isopyrum thalictroides	Zdrojówka rutewkowata
Jacaranda mimosifolia	Jakaranda mimozolistna
Jacobaea aquatica	Starzec wodny
Jacobaea incana subsp. carniolica	Starzec kraiński
Jacobaea maritima	Starzec popielny
Jacobaea paludosa	Starzec bagienny
Jacobaea vulgaris	Starzec Jakubek
Jasione montana	Jasieniec piaskowy
Jasminum officinale	Jaśmin lekarski
Jovibarba preissiana subsp. Omelcz. & Czopik	Rojownik włochaty
Jovibarba sobolifera	Rojownik pospolity
Jubaea chilensis	Jubaea chilensis
Juglans ailantifolia	Orzech ajlantolistny
Juglans cinerea	Orzech szary
Juglans nigra	Orzech czarny
Juglans regia	Orzech włoski
Juncus acutiflorus	Sit ostrokwiatowy
Juncus alpinoarticulatus	Sit alpejski
Juncus articulatus	Sit członowaty
Juncus atratus	Sit czarny
Juncus balticus	Sit bałtycki
Juncus bufonius	Sit dwudzielny
Juncus compressus	Sit ściśniony
Juncus conglomeratus	Sit skupiony
Juncus effusus	Sit rozpierzchły
Juncus filiformis	Sit cienki
Juncus gerardi	Sit Gerarda
Juncus inflexus	Sit siny
Juncus maritimus	Sit morski
Juncus ranarius	Sit żabi
Juncus squarrosus	Sit sztywny
Juncus stygius	Sit torfowy
Juncus subnodulosus	Sit tępokwiatowy
Juncus tenageia	Sit błotny
Juncus tenuis	Sit chudy
Juncus trifidus	Sit skucina
Juncus triglumis	Sit trójłuskowy
Juniperus chinensis	Jałowiec chiński
Juniperus communis	Jałowiec pospolity
Juniperus conferta	Jałowiec nadbrzeżny
Juniperus horizontalis	Jałowiec płożący
Juniperus oxycedrus	Jałowiec kolczasty
Juniperus phoenicea	Jałowiec fenicki
Juniperus sabina	Jałowiec sabiński
Juniperus virginiana	Jałowiec wirginijski
Kadenia dubia	Selernica żyłkowana
Kalanchoe daigremontiana	Żyworódka Daigremonta
Kalmia latifolia	Kalmia szerokolistna
Kalmia polifolia	Kalmia wielokwiatowa
Kernera saxatilis	Warzuszka skalna
Kerria japonica	Złotlin japoński
Kickxia elatine	Kiksja oszczepowata
Kickxia spuria	Kiksja zgiętoostrogowa
Kirengeshoma palmata	Kirengeszoma dłoniasta
Knautia arvensis	Świerzbnica polna
Kniphofia uvaria	Trytoma groniasta
Koeleria pyramidata	Strzęplica piramidalna
Koelreuteria bipinnata	Koelreuteria bipinnata
Koelreuteria paniculata	Roztrzeplin wiechowaty
Kolkwitzia amabilis	Kolkwicja chińska
Laburnum alpinum	Złotokap alpejski
Laburnum anagyroides	Złotokap zwyczajny
Lactuca muralis	Sałatnik leśny
Lactuca perennis	Sałata trwała
Lactuca sativa	Sałata siewna
Lactuca serriola	Sałata kompasowa
Lactuca tatarica	Sałata tatarska
Lactuca virosa	Sałata jadowita
Lagenaria siceraria	Tykwa pospolita
Lagerstroemia indica	Lagerstremia indyjska
Lagurus ovatus	Dmuszek jajowaty
Lamium album	Jasnota biała
Lamium amplexicaule	Jasnota różowa
Lamium galeobdolon	Gajowiec żółty
Lamium maculatum	Jasnota plamista
Lamium purpureum	Jasnota purpurowa
Lampranthus multiradiatus	Lampranthus multiradiatus
Lamprocapnos spectabilis	Serduszka okazałe
Lantana camara	Lantana pospolita
Laphangium luteoalbum	Szarota żółtobiała
Lappula squarrosa	Lepnik zwyczajny
Lapsana communis	Łoczyga pospolita
Larix decidua	Modrzew europejski
Larix kaempferi	Modrzew japoński
Larix laricina	Modrzew amerykański
Larix occidentalis	Modrzew zachodni
Larix polonica	Modrzew polski
Laserpitium archangelica	Okrzyn jeleni
Laserpitium latifolium	Okrzyn szerokolistny
Laserpitium prutenicum	Okrzyn łąkowy
Lathraea squamaria	Łuskiewnik różowy
Lathyrus aphaca	Groszek bezlistny
Lathyrus heterophyllus	Groszek różnolistny
Lathyrus hirsutus	Groszek kosmatostrąkowy
Lathyrus japonicus	Groszek nadmorski
Lathyrus laevigatus	Groszek wschodniokarpacki
Lathyrus latifolius	Groszek szerokolistny
Lathyrus linifolius	Groszek skrzydlasty
Lathyrus niger	Groszek czerniejący
Lathyrus nissolia	Groszek liściakowy
Lathyrus odoratus	Groszek pachnący
Lathyrus palustris	Groszek błotny
Lathyrus pannonicus	Groszek pannoński
Lathyrus pisiformis	Groszek wielkoprzylistkowy
Lathyrus pratensis	Groszek żółty
Lathyrus sativus	Groszek siewny
Lathyrus sylvestris	Groszek leśny
Lathyrus tuberosus	Groszek bulwiasty
Lathyrus vernus	Groszek wiosenny
Laurus nobilis	Wawrzyn szlachetny
Lavandula angustifolia	Lawenda wąskolistna
Lavatera thuringiaca	Ślazówka turyngska
Lavatera trimestris	Ślazówka letnia
Ledum palustre	Bagno zwyczajne
Leersia oryzoides	Zamokrzyca ryżowa
Legousia speculum-veneris	Zwrotnica zwierciadło Wenery
Lemna aequinoctialis	Lemna aequinoctialis
Lemna gibba	Rzęsa garbata
Lemna minor	Rzęsa drobna
Lemna minuta	Lemna minuta
Lemna trisulca	Rzęsa trójrowkowa
Lemna turionifera	Rzęsa turionowa
Lemna valdiviana	Lemna valdiviana
Lens culinaris	Soczewica jadalna
Leontodon hispidus	Brodawnik zwyczajny
Leontodon incanus	Brodawnik szary
Leontodon saxatilis	Brodawnik różnoowockowy
Leontopodium nivale subsp. alpinum	Szarotka alpejska
Leonurus cardiaca	Serdecznik pospolity
Leonurus sibiricus	Serdecznik syberyjski
Leopoldia comosa	Szafirek miękkolistny
Lepidium campestre	Pieprzyca polna
Lepidium coronopus	Wronóg grzebieniasty
Lepidium densiflorum	Pieprzyca gęstokwiatowa
Lepidium draba	Pieprzycznik przydrożny
Lepidium ruderale	Pieprzyca gruzowa
Lepidium sativum	Pieprzyca siewna
Lespedeza bicolor	Lespedeza krzewiasta
Leucaena leucocephala	Leucaena leucocephala
Leucanthemopsis alpina	Złocieniec alpejski
Leucanthemum vulgare	Jastrun właściwy
Leucanthemum waldsteinii	Jastrun okrągłolistny
Leucobryum glaucum	Bielistka siwa
Leucocoryne ixioides	Leucocoryne ixioides
Leucojum aestivum	Śnieżyca letnia
Leucojum vernum	Śnieżyca wiosenna
Leucothoe fontanesiana	Kiścień wawrzynowy
Levisticum officinale	Lubczyk ogrodowy
Leymus arenarius	Wydmuchrzyca piaskowa
Libertia chilensis	Libercja okazała
Libertia sessiliflora	Libertia sessiliflora
Ligularia sibirica	Języczka syberyjska
Ligustrum lucidum	Ligustr lśniący
Ligustrum vulgare	Ligustr pospolity
Lilium bulbiferum	Lilia bulwkowata
Lilium candidum	Lilia biała
Lilium henryi	Lilia Henry’ego
Lilium lancifolium	Lilia tygrysia
Lilium martagon	Lilia złotogłów
Lilium monadelphum	Lilia zrosłopręcikowa
Limbarda crithmoides	Limbarda crithmoides
Limnophila aquatica	Limnofila wodna
Limosella aquatica	Namulnik brzegowy
Linaria arvensis	Lnica polna
Linaria odora	Lnica wonna
Linaria vulgaris	Lnica pospolita
Lindernia procumbens	Lindernia mułowa
Linnaea borealis	Zimoziół północny
Linum austriacum	Len austriacki
Linum catharticum	Len przeczyszczający
Linum extraaxillare	Len karpacki
Linum flavum	Len złocisty
Linum hirsutum	Len włochaty
Linum perenne	Len trwały
Linum tenuifolium	Len cienkolistny
Linum usitatissimum	Len zwyczajny
Liparis loeselii	Lipiennik Loesela
Liquidambar orientalis	Ambrowiec wschodni
Liquidambar styraciflua	Ambrowiec balsamiczny
Liriodendron tulipifera	Tulipanowiec amerykański
Lithospermum officinale	Nawrot lekarski
Littorella uniflora	Brzeżyca jednokwiatowa
Livistona chinensis	Liwistona chińska
Lobelia dortmanna	Lobelia jeziorna
Lobelia inflata	Lobelia rozdęta
Lobularia maritima	Lobularia nadmorska
Loeskeobryum brevirostre	Gajniczek krótkodzióbkowy
Lolium multiflorum	Życica wielokwiatowa
Lolium perenne	Życica trwała
Lolium remotum	Życica lnowa
Lolium temulentum	Życica roczna
Lonicera caerulea	Wiciokrzew siny
Lonicera caprifolium	Wiciokrzew przewiercień
Lonicera kamtschatica	Jagoda kamczacka
Lonicera ledebourii	Wiciokrzew Ledeboura
Lonicera nigra	Wiciokrzew czarny
Lonicera periclymenum	Wiciokrzew pomorski
Lonicera xylosteum	Wiciokrzew pospolity
Lotus corniculatus	Komonica zwyczajna
Lotus germanicus	Szyplin jedwabisty
Lotus maritimus	Komonica skrzydlatostrąkowa
Lotus pedunculatus	Komonica błotna
Lotus tenuis	Komonica wąskolistna
Lotus tetragonolobus	Głąbigroszek szkarłatny
Ludwigia palustris	Ludwigia błotna
Lunaria annua	Miesiącznica roczna
Lunaria rediviva	Miesiącznica trwała
Lupinus angustifolius	Łubin wąskolistny
Lupinus luteus	Łubin żółty
Lupinus mutabilis	Łubin zmienny
Lupinus polyphyllus	Łubin trwały
Luronium natans	Elisma wodna
Luzula campestris	Kosmatka polna
Luzula luzuloides	Kosmatka gajowa
Luzula multiflora	Kosmatka licznokwiatowa
Luzula pilosa	Kosmatka owłosiona
Luzula sylvatica	Kosmatka olbrzymia
Lychnis chalcedonica	Firletka chalcedońska
Lychnis flos-jovis	Firletka Jowisza
Lycium barbarum	Kolcowój pospolity
Lycium chinense	Kolcowój chiński
Lycium europaeum	Kolcowój europejski
Lycopersicon esculentum	Pomidor zwyczajny
Lycopodiella inundata	Widłaczek torfowy
Lycopodium annotinum	Widłak jałowcowaty
Lycopodium clavatum	Widłak goździsty
Lycopus europaeus	Karbieniec pospolity
Lysichiton americanus	Tulejnik amerykański
Lysimachia europaea	Siódmaczek leśny
Lysimachia foemina	Kurzyślad błękitny
Lysimachia maritima	Mlecznik nadmorski
Lysimachia nemorum	Tojeść gajowa
Nazwa łacińska	Nazwa polska
Lysimachia nummularia	Tojeść rozesłana
Lysimachia punctata	Tojeść kropkowana
Lysimachia thyrsiflora	Tojeść bukietowa
Lysimachia vulgaris	Tojeść pospolita
Lythrum hyssopifolia	Krwawnica wąskolistna
Lythrum salicaria	Krwawnica pospolita
Maclura pomifera	Żółtnica pomarańczowa
Magnolia acuminata	Magnolia drzewiasta
Magnolia denudata	Magnolia naga
Magnolia grandiflora	Magnolia wielkokwiatowa
Magnolia kobus	Magnolia japońska
Magnolia liliiflora	Magnolia purpurowa
Magnolia obovata	Magnolia szerokolistna
Magnolia sieboldii	Magnolia Siebolda
Magnolia stellata	Magnolia gwiaździsta
Magnolia tripetala	Magnolia parasolowata
Magnolia virginiana	Magnolia wirginijska
Magnolia x soulangiana	Magnolia pośrednia
Mahonia aquifolium	Mahonia pospolita
Maianthemum bifolium	Konwalijka dwulistna
Malaxis monophyllos	Wyblin jednolistny
Malus baccata	Jabłoń jagodowa
Malus domestica	Jabłoń domowa
Malus floribunda	Jabłoń kwiecista
Malus pumila	Jabłoń niska
Malus sylvestris	Jabłoń dzika
Malus ×purpurea	Jabłoń purpurowa
Malva alcea	Ślaz zygmarek
Malva moschata	Ślaz piżmowy
Malva neglecta	Ślaz zaniedbany
Malva nicaeensis	Ślaz nicejski
Malva parviflora	Ślaz drobnokwiatowy
Malva sylvestris	Ślaz dziki
Mandevilla boliviensis	Mandevilla boliviensis
Mandevilla sanderi	Mandevilla sanderi
Mandragora officinarum	Mandragora lekarska
Marrubium vulgare	Szanta zwyczajna
Marsilea quadrifolia	Marsylia czterolistna
Matricaria chamomilla	Rumianek pospolity
Matricaria discoidea	Rumianek bezpromieniowy
Matteuccia struthiopteris	Pióropusznik strusi
Matthiola longipetala	Lewkonia długopłatkowa
Medicago falcata	Lucerna sierpowata
Medicago lupulina	Lucerna nerkowata
Medicago minima	Lucerna kolczastostrąkowa
Medicago sativa	Lucerna siewna
Medicago × varia	Lucerna pośrednia
Melaleuca alternifolia	Melaleuka skrętolistna
Melampyrum arvense	Pszeniec różowy
Melampyrum cristatum	Pszeniec grzebieniasty
Melampyrum nemorosum	Pszeniec gajowy
Melampyrum polonicum	Pszeniec polski
Melampyrum pratense	Pszeniec zwyczajny
Melampyrum saxosum	Pszeniec biały
Melampyrum sylvaticum	Pszeniec leśny
Melica ciliata	Perłówka orzęsiona
Melica nutans	Perłówka zwisła
Melica picta	Perłówka kolorowa
Melica transsilvanica	Perłówka siedmiogrodzka
Melica uniflora	Perłówka jednokwiatowa
Melilotus albus	Nostrzyk biały
Melilotus altissimus	Nostrzyk wyniosły
Melilotus dentatus	Nostrzyk ząbkowany
Melilotus officinalis	Nostrzyk żółty
Melilotus polonicus	Nostrzyk polski
Melissa officinalis	Melisa lekarska
Melittis melissophyllum	Miodownik melisowaty
Mentha aquatica	Mięta nadwodna
Mentha arvensis	Mięta polna
Mentha longifolia	Mięta długolistna
Mentha pulegium	Mięta polej
Mentha spicata	Mięta zielona
Mentha ×piperita	Mięta pieprzowa
Menyanthes trifoliata	Bobrek trójlistkowy
Mercurialis annua	Szczyr roczny
Mercurialis perennis	Szczyr trwały
Mespilus germanica	Nieszpułka zwyczajna
