Abelmoschus esculentus	Piżmian jadalny
Anthurium andraeanum	Anturium Andrego
Anthurium scherzerianum	Anturium Scherzera
Anthyllis alpestris	Przelot alpejski
Anthyllis vulneraria	Przelot pospolity
Antigonon leptopus	Antigonon cienkoogonkowy
Antirrhinum majus	Wyżlin większy
Anubias barteri var. nana	Anubias niski
Apera spica-venti	Miotła zbożowa
Aphanes arvensis	Skrytek polny
Aphanes microcarpa	Skrytek drobnoowockowy
Aphyllanthes monspeliensis	Aphyllanthes monspeliensis
Apium graveolens	Selery zwyczajne
Apium nodiflorum	Pęczyna węzłobaldachowa
Apium repens	Pęczyna błotna
Aposeris foetida	Sałatnica leśna
Aquilegia einseleana	Aquilegia einseleana
Aquilegia vulgaris	Orlik pospolity
Aquilegia × hybrida	Orlik mieszańcowy
Arabidopsis arenosa	Rzeżusznik piaskowy
Arabidopsis halleri	Rzeżusznik Hallera
Arabidopsis neglecta	Rzeżusznik tatrzański
Nazwa łacińska	Nazwa polska
Arabidopsis thaliana	Rzodkiewnik pospolity
Arabis alpina	Gęsiówka alpejska
Arabis caucasica	Gęsiówka kaukaska
Arabis hirsuta	Gęsiówka szorstkowłosista
Arabis planisiliqua	Gęsiówka Gerarda
Arabis recta	Gęsiówka uszkowata
Arabis soyeri	Gęsiówka stokrotkolistna
Arachis hypogaea	Orzacha podziemna
Aralia chinensis	Aralia chińska
Araucaria angustifolia	Araukaria brazylijska
Araucaria araucana	Araukaria chilijska
Araucaria bidwillii	Araukaria Bidwilla
Arbutus canariensis	Arbutus canariensis
Arbutus unedo	Chruścina jagodna
Arceuthobium oxycedri	Arceuthobium oxycedri
Arctium lappa	Łopian większy
Arctium minus	Łopian mniejszy
Arctium nemorosum	Łopian gajowy
Arctium tomentosum	Łopian pajęczynowaty
Arctostaphylos uva-ursi	Mącznica lekarska
Aremonia agrimonoides	Aremonia agrimonoides
Arenaria ciliata	Piaskowiec orzęsiony
Arenaria graminifolia	Piaskowiec trawiasty
Arenaria serpyllifolia	Piaskowiec macierzankowy
Argemone mexicana	Argemon meksykański
Aristolochia baetica	Aristolochia baetica
Aristolochia bianorii	Aristolochia bianorii
Aristolochia clematitis	Kokornak powojnikowy
Aristolochia fontanesii	Aristolochia fontanesii
Aristolochia littoralis	Aristolochia littoralis
Aristolochia macrophylla	Kokornak wielkolistny
Aristolochia manshuriensis	Kokornak mandżurski
Aristolochia pallida	Aristolochia pallida
Aristolochia pistolochia	Aristolochia pistolochia
